Sat Apr 20 20:40:05 2019 : writeAudio >> enter
Sat Apr 20 20:40:06 2019 : writeAudio >> enter
Sat Apr 20 20:40:06 2019 : writeAudio >> enter
Sat Apr 20 20:40:06 2019 : writeAudio >> enter
Sat Apr 20 20:40:06 2019 : writeAudio >> enter
Sat Apr 20 20:40:06 2019 : writeAudio >> enter
Sat Apr 20 20:40:06 2019 : writeAudio >> enter
Sat Apr 20 20:40:06 2019 : writeAudio >> enter
Sat Apr 20 20:40:06 2019 : writeAudio >> enter
Sat Apr 20 20:40:07 2019 : writeAudio >> enter
Sat Apr 20 20:40:07 2019 : writeAudio >> enter
Sat Apr 20 20:40:07 2019 : writeAudio >> enter
Sat Apr 20 20:40:07 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:07 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:07 2019 : writeAudio >> enter
Sat Apr 20 20:40:07 2019 : writeAudio >> enter
Sat Apr 20 20:40:07 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:07 2019 : writeAudio >> enter
Sat Apr 20 20:40:07 2019 : writeAudio >> enter
Sat Apr 20 20:40:07 2019 : writeAudio >> enter
Sat Apr 20 20:40:08 2019 : writeAudio >> enter
Sat Apr 20 20:40:08 2019 : writeAudio >> enter
Sat Apr 20 20:40:08 2019 : writeAudio >> enter
Sat Apr 20 20:40:08 2019 : writeAudio >> enter
Sat Apr 20 20:40:08 2019 : writeAudio >> enter
Sat Apr 20 20:40:08 2019 : writeAudio >> enter
Sat Apr 20 20:40:08 2019 : writeAudio >> enter
Sat Apr 20 20:40:08 2019 : writeAudio >> enter
Sat Apr 20 20:40:09 2019 : writeSerialRead >>> enter
Sat Apr 20 20:40:09 2019 : writeAudio >> enter
Sat Apr 20 20:40:09 2019 : writeAudio >> enter
Sat Apr 20 20:40:09 2019 : writeAudio >> enter
Sat Apr 20 20:40:09 2019 : writeAudio >> enter
Sat Apr 20 20:40:09 2019 : writeAudio >> enter
Sat Apr 20 20:40:09 2019 : writeAudio >> enter
Sat Apr 20 20:40:09 2019 : writeAudio >> enter
Sat Apr 20 20:40:09 2019 : writeAudio >> enter
Sat Apr 20 20:40:10 2019 : writeAudio >> enter
Sat Apr 20 20:40:10 2019 : writeAudio >> enter
Sat Apr 20 20:40:10 2019 : writeAudio >> enter
