Sat Apr 20 20:40:16 2019 : run >>> audio 
Sat Apr 20 20:40:16 2019 : run >>> writeAudio
Sat Apr 20 20:40:16 2019 : run >>> audio 
Sat Apr 20 20:40:16 2019 : run >>> writeAudio
Sat Apr 20 20:40:16 2019 : run >>> audio 
Sat Apr 20 20:40:16 2019 : run >>> writeAudio
Sat Apr 20 20:40:16 2019 : run >>> audio 
Sat Apr 20 20:40:16 2019 : run >>> writeAudio
Sat Apr 20 20:40:16 2019 : run >>> audio 
Sat Apr 20 20:40:16 2019 : run >>> writeAudio
Sat Apr 20 20:40:16 2019 : run >>> audio 
Sat Apr 20 20:40:16 2019 : run >>> writeAudio
Sat Apr 20 20:40:16 2019 : run >>> audio 
Sat Apr 20 20:40:16 2019 : run >>> writeAudio
Sat Apr 20 20:40:17 2019 : run >>> audio 
Sat Apr 20 20:40:17 2019 : run >>> writeAudio
Sat Apr 20 20:40:17 2019 : run >>> audio 
Sat Apr 20 20:40:17 2019 : run >>> writeAudio
Sat Apr 20 20:40:17 2019 : run >>> audio 
Sat Apr 20 20:40:17 2019 : run >>> writeAudio
Sat Apr 20 20:40:17 2019 : run >>> audio 
Sat Apr 20 20:40:17 2019 : run >>> writeAudio
Sat Apr 20 20:40:17 2019 : run >>> audio 
Sat Apr 20 20:40:17 2019 : run >>> writeAudio
Sat Apr 20 20:40:17 2019 : run >>> audio 
Sat Apr 20 20:40:17 2019 : run >>> writeAudio
Sat Apr 20 20:40:17 2019 : run >>> audio 
Sat Apr 20 20:40:17 2019 : run >>> writeAudio
Sat Apr 20 20:40:17 2019 : run >>> audio 
Sat Apr 20 20:40:17 2019 : run >>> writeAudio
Sat Apr 20 20:40:18 2019 : run >>> audio 
Sat Apr 20 20:40:18 2019 : run >>> writeAudio
Sat Apr 20 20:40:18 2019 : run >>> audio 
Sat Apr 20 20:40:18 2019 : run >>> writeAudio
Sat Apr 20 20:40:38 2019 : freeAllObjects >>> entered
Sat Apr 20 20:40:38 2019 : closeStreams >>> closed
